Video_ID,Komentar,Jumlah_Suka
lslu0_8OynQ,"Setelah menonton film tersebut , di balik kemewahan kota dan kebanggan kendaraan kita yg kita gunakan ada saudara kita yg terdampak / tertindas di ujung sana.",0
lslu0_8OynQ,Sedih kalau membicarakan papua. Papua dijajah,0
lslu0_8OynQ,Setiap program dari pemerintah pasti ada manfaatnya buat warga,0
lslu0_8OynQ,preet,0
lslu0_8OynQ,"Setidaknya Alhamdulillah, di tempat ane ga dilarang, setau saya yang di mataram alasan pembubaran karena ""izin"" Tidak ada. Heh takut aja itu soalnya banyak orang bermasalah di univ yang melarang nobar.

Heh NTB seribu masjid seribu malong kali.",1
lslu0_8OynQ,yang paling bikin marah itu rakyat Papua pasti nyangka kekayaan Papua dikeruk untuk mensejahterakan Jawa atau rakyat diluar Papua padahal tidak sama sekali semua kekayaan yg dirampok dari Papua masuk kantong pribadi,0
lslu0_8OynQ,"ya balik lagi orde baru... 😂😂 mantunya cang atok, ya nggak jauh2lah...",1
lslu0_8OynQ,Cukup highlight nya aja udah mewakili isi diskusi dan filmnya,0
lslu0_8OynQ,Wajar papua mau merdeka,0
lslu0_8OynQ,"Cukup sekali memilih pemimpin yg salah, belajar lah dari kesalahan memilih pemimpin yg bermasalah",0
lslu0_8OynQ,Besok2 binatang apa lg y?,0
lslu0_8OynQ,3 cerita kpn BS di liput tempo,0
lslu0_8OynQ,"SALUT-AJIB pd perjuangan TimWork Pesta Babi dg semua keterbatasannya.
TERUS SADARKAN PENGUASAAN HUTAN PAPUA DG ALIBI PSN APAPUN, pasti panggung belakangnya OLIGARKI..!!!",0
lslu0_8OynQ,Saya sekeluarga jadi korban kebiadaban para mafia tanah di rezim Mulyono. Itu karena kebijakan pencitraan rezim Mulyono yang sangat2 dholim. Kakek nenek saya yang sudah sangat tua sekali jadi korban kebiadaban para mafia tanah.nenek kakek saya diintimidasi disekap dikeroyok difitnah dirampok diusir Sampek beliau meninggal 😭😭. Padahal sebelumnya kami hidup tenang damai.,0
lslu0_8OynQ,Ayo tantang semua anggota DPR dan MPR untuk nobar film ini di gedung DPR.RI.,0
lslu0_8OynQ,cepat viralkan biar rakyat tahu,0
lslu0_8OynQ,Laler ijo pancet ae...,1
